"FOREST ELF MALE"
{
"Kygyl Thundershadow"
"Grothry Viusorzo"
"Gharshiha Bairdre"
"Nemvoba Navra"
"Bhemzis Shrugreruh"
"Usoklu Wiseira"
"Aliri Debenar"
"Vukorth Zolzith"
"Morrid Krunrebar"
"Ghododhe Rialviath"
"Drorzud Kamu"
"Cofrala Phregraes"
"Rhacryr Emuldret"
"Qindema Shrinzoh"
"Suigul Siustrise"
"Khadnith Viuzath"
"Zilriorn Phugnat"
"Dakseso Winvruh"
"Gulvuth Winree"
"Cenunze Semiushre"
"Rebralo Thunuzried"
"Irshedo Borainvre"
"Famvopa Malzed"
"Udirro Phaminvriec"
"Taithik Virthi"
"Bhorzi Thistrisi"
"Tielfyl Phrolvae"
"Tolrai Daigneegat"
"Rummadh Thebulnuh"
"Felicnu Rinneth"
"Hepiphre Kralnida"
"Uphnuhu Krugalzer"
"Nunanso Chebiusil"
"Draelfyth Bhirzieth"
"Lenikha Pandied"
"Caevrou Sodrec"
"Ilescu Shruminius"
"Dhelmyr Anza"
"Thakly Kobudush"
"Fibosci Chigone"
"Uhandu Mozran"
"Nomvehu Ardrosah"
"Edvado Phrubath"
"Phabrodo Kredodro"
"Ghikrio Bugnec"
"Toclir Cesid"
"Airvo Gherveres"
"Diebsu Aimru"
"Immass Crolne"
"Drouklairn Dhardina"
"Fubruma Midurlus"
"Gomashu Khaezisriar"
"Thuituk Curtha"
"Carnedi Bairigac"
"Ulvadh Paemizet"
"Ohasco Kieruze"
"Otroul Bordroth"
"Perapa Ghaevnus"
"Obanda Shelrari"
"Finoshri Teinased"
"Chiludvu Eilno"
"Acsure Sheinde"
"Dokzoc Gegoldun"
"Emurho Bheneiso"
}


"DARK ELF FEMALE"
{

"Brurdra Peemonda"
"Vienduss Imridon"
"Mikhera Kheengosaec"
"Britrail Khuse"
"Thathrirth Draerli"
"Yggyth Orveh"
"Fonvo Bhulvu"
"Droggik Sarsos"
"Velfurth Shrirthugud"
"Hucinni Iugnirod"
"Sikry Serli"
"Noukreth Creshrazash"
"Golne Thienobas"
"Fernyl Bhumar"
"Dhaggan Eeburze"
"Okel Pegran"
"Bolnipe Crovnu"
"Damluh Kordramuth"
"Dhykzath Padiardruth"
"Ebebra Zubondreth"
"Dremdre Pannu"
"Advera Bhedah"
"Tiomrah Phaimih"
"Mourvec Buldronic"
"Oncu Kheezroran"
"Ferussi Dhagrube"
"Beknik Didro"
"Zithor Erles"
"Corrome Kriardror"
"Chumnelo Kinraigeis"
"Ymleth Drunolnu"
"Secil Khiusregad"
"Modara Velna"
"Thoncath Garseth"
"Durekshi Usrezu"
"Ershona Rostrobiun"
"Khilfi Keramruth"
"Zurih Vodobie"
"Bevri Konzodian"
"Orepe Camru"
"Phabonru Ciuda"
"Meku Neirdreid"
"Ilmek Thashri"
"Femaba Ghielva"
"Nucosi Krozirlae"
"Rygne Megniedis"
"Nerlarn Bhagnot"
"Dhuthokh Bhegrid"
"Ghaekrac Cestrigu"
"Apibi Kholdrath"
"Thecryth Shideenze"
"Dhomnis Teelziumas"
"Udobsi Darda"
"Gruoc Thisur"
"Kurzac Vigizi"
"Groclec Phrundru"
"Siomnurth Weesath"
"Umvuho Vunzih"
"Rolve Wilzor"
"Rendrass Khursoh"
"Ebori Dhimurlor"
"Dhemnele Thirthish"
"Dhandes Shungut"
"Phecsano Shulvidel"
"Dalzeci Dhonneso"
"Cetred Criugnac"
"Fibulo Khuldeel"
"Famuphru Phebisal"
"Oggae Thalzish"
"Sovror Thasushran"
"Bhuceco Taisainza"
"Bhonvoth Wibizra"
"Pansedu Shosa"
"Mehupu Shrignuze"
"Rednuc Pilrish"
"Khurlor Zageelze"
"Gaglad Shrarzia"
"Ghibephnu Divnit"
"Uibsan Ghinriur"
"Rirheso Bhardra"
"Birshomo Chorsa"
"Saete Gangud"
"Gecu Bhardrith"
"Numzis Ilnet"
"Cesephno Nimeseth"
"Guidnik Phiandiah"
"Meksupe Asozish"
"Puscohi Phulniezeec"
"Nonere Yeerthegu"
"Khorles Varlobe"
"Osursha Vondre"
"Gadhane Mildri"
"Driggoh Bhorthae"
"Camnuc Phrerviuso"
"Dhomomru Pebazri"
"Ledvina Vaborviat"
"Bhushimo Pordodo"
"Dinvos Kezrot"
"Gaimzis Gognegu"
"Obsina Dhilrol"
"Alrero Congeh"
"Zecmuk Shruzirtheish"
"Chiboru Chegeirvush"
"Bhokshode Isainvriud"
"Qhasakshu Vamrud"
"Grurvath Ialras"
"Phobesho Burvi"
"Dhepephne Venrin"
"Temdroh Krarden"
"Onzico Bhaenarlos"
"Kandod Wiendoth"
"Brotern Zemeec"
"Dhapala Yavrae"
"Cohudi Khasarut"
"Dricith Diegnuc"
"Rukokh Thursish"
"Focla Chiudolzuth"
"Ubuphra Gebusreil"
"Purnisi Bedren"
"Garabri Shivresod"
"Marrope Isruc"
"Khemnyrth Khigerdresh"
"Lalado Ceiziga"
"Bodono Zoma"
"Qemuha Khuzudra"
"Ilabna Shiusin"
"Endryd Bhannod"
"Loshidi Crevros"
"Surnar Pheedonret"
"Churushri Rubugrait"
"Ipelu Chovrama"
"Biocmeth Uranvroh"
"Tulfan Vonvreh"
"Masinzo Bhenruth"
"Enzoda Gherurzis"
"Era Dranruc"
"Rhedhecu Rasubo"
"Qobrela Muldrad"
"Dansacu Crengu"
"Brairroh Zeresic"
"Roralo Khirdran"
"Khathrith Bamozae"
"Chabukle Shrierda"
"Dhelofri Zeshromo"
"Farvyh Wurvor"
"Rirudre Zebuvret"
"Ishace Imeras"
"Kourloss Zerdro"
"Iomle Egu"
"Dhutriekh Gainda"
}
