"FOREST ELF MALE"
{
"Kygyl Thundershadow"
"Grothry Viusorzo"
"Gharshiha Bairdre"
"Nemvoba Navra"
"Bhemzis Shrugreruh"
"Usoklu Wiseira"
"Aliri Debenar"
"Vukorth Zolzith"
"Morrid Krunrebar"
"Ghododhe Rialviath"
"Drorzud Kamu"
"Cofrala Phregraes"
"Rhacryr Emuldret"
"Qindema Shrinzoh"
"Suigul Siustrise"
"Khadnith Viuzath"
"Zilriorn Phugnat"
"Dakseso Winvruh"
"Gulvuth Winree"
"Cenunze Semiushre"
"Rebralo Thunuzried"
"Irshedo Borainvre"
"Famvopa Malzed"
"Udirro Phaminvriec"
"Taithik Virthi"
"Bhorzi Thistrisi"
"Tielfyl Phrolvae"
"Tolrai Daigneegat"
"Rummadh Thebulnuh"
"Felicnu Rinneth"
"Hepiphre Kralnida"
"Uphnuhu Krugalzer"
"Nunanso Chebiusil"
"Draelfyth Bhirzieth"
"Lenikha Pandied"
"Caevrou Sodrec"
"Ilescu Shruminius"
"Dhelmyr Anza"
"Thakly Kobudush"
"Fibosci Chigone"
"Uhandu Mozran"
"Nomvehu Ardrosah"
"Edvado Phrubath"
"Phabrodo Kredodro"
"Ghikrio Bugnec"
"Toclir Cesid"
"Airvo Gherveres"
"Diebsu Aimru"
"Immass Crolne"
"Drouklairn Dhardina"
"Fubruma Midurlus"
"Gomashu Khaezisriar"
"Thuituk Curtha"
"Carnedi Bairigac"
"Ulvadh Paemizet"
"Ohasco Kieruze"
"Otroul Bordroth"
"Perapa Ghaevnus"
"Obanda Shelrari"
"Finoshri Teinased"
"Chiludvu Eilno"
"Acsure Sheinde"
"Dokzoc Gegoldun"
"Emurho Bheneiso"
}


"DARK ELF FEMALE"
{
"Brurdra Peemonda"
"Vienduss Imridon"
"Mikhera Kheengosaec"
"Britrail Khuse"
"Thathrirth Draerli"
"Yggyth Orveh"
"Fonvo Bhulvu"
"Droggik Sarsos"
"Velfurth Shrirthugud"
"Hucinni Iugnirod"
"Sikry Serli"
"Noukreth Creshrazash"
"Golne Thienobas"
"Fernyl Bhumar"
"Dhaggan Eeburze"
"Okel Pegran"
"Bolnipe Crovnu"
"Damluh Kordramuth"
"Dhykzath Padiardruth"
"Ebebra Zubondreth"
"Dremdre Pannu"
"Advera Bhedah"
"Tiomrah Phaimih"
"Mourvec Buldronic"
"Oncu Kheezroran"
"Ferussi Dhagrube"
"Beknik Didro"
"Zithor Erles"
"Corrome Kriardror"
"Chumnelo Kinraigeis"
"Ymleth Drunolnu"
"Secil Khiusregad"
"Modara Velna"
"Thoncath Garseth"
"Durekshi Usrezu"
"Ershona Rostrobiun"
"Khilfi Keramruth"
"Zurih Vodobie"
"Bevri Konzodian"
"Orepe Camru"
"Phabonru Ciuda"
"Meku Neirdreid"
"Ilmek Thashri"
"Femaba Ghielva"
"Nucosi Krozirlae"
"Rygne Megniedis"
"Nerlarn Bhagnot"
"Dhuthokh Bhegrid"
"Ghaekrac Cestrigu"
"Apibi Kholdrath"
"Thecryth Shideenze"
"Dhomnis Teelziumas"
"Udobsi Darda"
"Gruoc Thisur"
"Kurzac Vigizi"
"Groclec Phrundru"
"Siomnurth Weesath"
"Umvuho Vunzih"
"Rolve Wilzor"
"Rendrass Khursoh"
"Ebori Dhimurlor"
"Dhemnele Thirthish"
"Dhandes Shungut"
"Phecsano Shulvidel"
"Dalzeci Dhonneso"
"Cetred Criugnac"
"Fibulo Khuldeel"
"Famuphru Phebisal"
"Oggae Thalzish"
"Sovror Thasushran"
"Bhuceco Taisainza"
"Bhonvoth Wibizra"
"Pansedu Shosa"
"Mehupu Shrignuze"
"Rednuc Pilrish"
"Khurlor Zageelze"
"Gaglad Shrarzia"
"Ghibephnu Divnit"
"Uibsan Ghinriur"
"Rirheso Bhardra"
"Birshomo Chorsa"
"Saete Gangud"
"Gecu Bhardrith"
"Numzis Ilnet"
"Cesephno Nimeseth"
"Guidnik Phiandiah"
"Meksupe Asozish"
"Puscohi Phulniezeec"
"Nonere Yeerthegu"
"Khorles Varlobe"
"Osursha Vondre"
"Gadhane Mildri"
"Driggoh Bhorthae"
"Camnuc Phrerviuso"
"Dhomomru Pebazri"
"Ledvina Vaborviat"
"Bhushimo Pordodo"
"Dinvos Kezrot"
"Gaimzis Gognegu"
"Obsina Dhilrol"
"Alrero Congeh"
"Zecmuk Shruzirtheish"
"Chiboru Chegeirvush"
"Bhokshode Isainvriud"
"Qhasakshu Vamrud"
"Grurvath Ialras"
"Phobesho Burvi"
"Dhepephne Venrin"
"Temdroh Krarden"
"Onzico Bhaenarlos"
"Kandod Wiendoth"
"Brotern Zemeec"
"Dhapala Yavrae"
"Cohudi Khasarut"
"Dricith Diegnuc"
"Rukokh Thursish"
"Focla Chiudolzuth"
"Ubuphra Gebusreil"
"Purnisi Bedren"
"Garabri Shivresod"
"Marrope Isruc"
"Khemnyrth Khigerdresh"
"Lalado Ceiziga"
"Bodono Zoma"
"Qemuha Khuzudra"
"Ilabna Shiusin"
"Endryd Bhannod"
"Loshidi Crevros"
"Surnar Pheedonret"
"Churushri Rubugrait"
"Ipelu Chovrama"
"Biocmeth Uranvroh"
"Tulfan Vonvreh"
"Masinzo Bhenruth"
"Enzoda Gherurzis"
"Era Dranruc"
"Rhedhecu Rasubo"
"Qobrela Muldrad"
"Dansacu Crengu"
"Brairroh Zeresic"
"Roralo Khirdran"
"Khathrith Bamozae"
"Chabukle Shrierda"
"Dhelofri Zeshromo"
"Farvyh Wurvor"
"Rirudre Zebuvret"
"Ishace Imeras"
"Kourloss Zerdro"
"Iomle Egu"
"Dhutriekh Gainda"
}

"HIGH ELF MALE"
{
"Yannaamokar Khraemal"
"Hinron Loreore"
"Tannmil Loreael"
"Saunarenquarien Laraethor"
"Falcndilgalmo Thromour"
"Corriandial Faefhaer"
"Earootan Cameus"
"Undirionion Graythaer"
"Aicmilrmerel Stormfhar"
"Gladreanaro Gaethal"
"Seriornacano Koruseus"
"Lillandlmoormo Charmbinder"
"Hirtmbarindil Gaeor"
"Enriedendil Elsinuseus"
"Inganar Highore"
"Andonilmo Stormahl"
"Suuralushorn Lareththius"
"Tragcano Thaororin"
"Kararil Lorelock"
"Coreimarcoindil Khraemifeth"
"Eldaonilmo Aelsinour"
"Viarnarenquarien Larethiuth"
"Undilas Highkaender"
"Aslirenen Gaethfhaer"
"Yannnoion Charmor"
"Faniaranyon Aelsinoth"
"Viangore Athiane"
"Eldonrootan Tahromeus"
"Erralas Aelsinoth"
"Sernar Anaedaire"
"Norigothildil Kaeeus"
"Earmndil Caemorinh"
"Moraarion Charmihle"
"Unglanil Chamire"
"Ocatelde Adahl"
"Aidochtus Aediane"
"Tunra Kaefhar"
"Muridaenhesis Larethfhar"
"Lithnarenquarien Elsinwatch"
"Iroril Thaororin"
"Sinedil Larethore"
"Gyrertilim Aelsinthaer"
"Cyrerilamil Kaethius"
"Arinnarto Kaefhar"
"Ungmilrmerel Laraethour"
"Naemldur Athorin"
"Hecedurcar Tahromor"
"Arionriel Aelsoniath"
"Tilmhtus Salingthius"
"Yannarilmon Laraethour"
"Tumrnil Chamoth"
"Tilmewynn Caemius"
"Iachion Thramuseus"
"Mithndilin Camthius"
"Ulunelmoellith Tahromaerith"
"Lithntilrmo Charmorin"
"Undionilmo Loreuseus"
"Calira Tahromiuth"
"Lylianirernil Thramius"
"Meryndil Loraethious"
"Ganntar Larethan"
"Hirtonl Salingael"
"Rumnturco Camiane"
"Iaconniss Thromfhaer"
"Mosmbarindil Aelsonius"
"Tauntiersanon Larenhifeth "
"Meaiss Aedahl"
"Ocallithil Granaen"
"Lillanddilanaamo Athwatch"
"Vingoril Loreour"
"Mosllithil Spellaire"
"Raveldil Loraethal"
"Mormircil Thramthar"
"Ungadur Elsinour"
"Arkvved Alkinkaender"
"Tilmorumeladil Salingthar"
"Carynil Adorinh"
"Rimoniril Chamian"
"Earmlcalin Jaeronin"
"Elidranil Korahl"
"Litaril Sillonkaender"
"Vormon Elsinor"
"Cirirenen Sillonfhar"
"Enriiel Granbinder"
"Arelelmoellith Aelsonuseus"
"Ciriitaracar Adiuth"
"Fasrionamion Stormahl"
"Traglanar Aedael"
"Nureion Thaoraen"
"Arrecalmo Camuseus"
"Ancion Chaean"
"Yarved Laraethaine"
"Rimonolemar Tahromiane"
"Nelaornacano Thramian"
"Umbndildaril Larenhus"
"Murildur Aedorinh"
"Ancrionamion Higheus"
"Sindllorantier Granor"
"Ulunngore Spellthaer"
"Naeron Elsineus"
"Ilmilroon Aedthius"
"Aicaenare Larenhthius"
"Gyrngothildil Aelsiniuth"
"Faindilgondorin Aedkaender"
"Faniroonyaran Larethiane"
"Corearengore Jaeraire"
"Halcelmo Laemorin"
"Manon Laemkaender"
"Hidera Grayire"
"Ancangoth Thilinkaender"
"Gilaranyon Saelinor"
"Quarrynil Highan"
"Landarnimarco Larethal"
"Viadaenhesis Charmael"
"Arelron Adiuth"
"Volanilianranir Sillonifeth"
"Ondonniss Alkinthaer"
"Calirillian Jaeran"
"Linitaracar Adaere"
"Morrion Tahromoth"
"Errrionamion Thaoriuth"
"Artotar Thaorire"
"Hirtndilin Larenhal"
"Arrionanarg Elsinkaender"
"Olqandial Larethaire"
"Ryairion Thaoroth"
"Tunedur Anaedor"
"Ingrion Aelsinfhar"
"Angandildaril Alkinthar"
"Celrillian Joraine"
"Tumierion Gaetheus"
"Rulionriel Laemore"
"Fanndil Saelinian"
"Landnmir Highthaer"
"Ancaonilmo Sillonahl"
"Ingaerion Charman"
"Neriranil Charmius"
"Asliion Alkinael"
"Murindil Khraemiuth"
"Ruldaenhesis Spelluseus"
"Aldrionamion Aedour"
"Karindil Gaelock"
"Alddildorume Larethal"
"Yakoecalmo Charmfhaer"
"Faeertilim Laraeththius"
"Fascelmo Koraen"
"Ilmrim Salingiath"
"Athynnarion Athwatch"
"Ancaarintil Joraere"
"Estoielandil ChamwatchNurrmowe Chaefaere"
"Voricalmoditar Aediath"
"Orion Sillonius"
"Ingedil Aelsonkaender"
"Viarliongrim Elsinwatch"
"Estondilnalus Larenhahl"
"Orihtus Khraemfhaer"
"Tanden Anaedire"
"Arkrilelion Larethaen"
"Falroonyaran Laraethian"
}

"HIGH ELF FEMALE"
{
"Nenion Faeire"
"Gialsion Gaethonin"
"Cinddara Khraemiath"
"Viraril Thaorus"
"Curssa Charmaerith"
"Caramia Joriath"
"Tandmanwe Loraethifeth"
"Elaneth Thilinthaer"
"Camarane Anaedael"
"Karfire Thaorifeth"
"Astnya Thaororin"
"Carilonwe Aedael"
"Aurelle Chamor"
"Sonaen Thilinire"
"Caanwe Grayeus"
"Liliden Tahromaire"
"Cirtelle Gaelock"
"Termeminwe Atheus"
"Ravealine Alkinael"
"Estieya Thromore"
"Nirande Aedfhaer"
"Siriaena Athiath"
"Imartha Anaedour"
"Elaende Thromiane"
"Termrine Chaeaine"
"Iirine Laraethaen"
"Arqunalda Khraemire"
"Ravemanwe Athaerith"
"Arananya Aedaine"
"Fisteya Laemahl"
"Fistana Tahromian"
"Helende Athfhaer"
"Camte Highan"
"Curarya Elsinwatch"
"Helaale Camahl"
"Nirnye Grayus"
"Cirrand Lareththar"
"Neruarya Aelsiniane"
"Helesion Elsinaire"
"Helealaure Korbinder"
"Ariaire Salingaere"
"Niryalenya Camoth"
"Tenyae Chamfaere"
"Nerae Tahromor"
"Varalsama Kaelock"
"Ardaaninde Gaeththius"
"Ranea Chaeius"
"Estonirya Larenhour"
"Estolinwae Anaedan"
"Caralenya Grayious"
"Carakrand Graythaer"
"Faisephona Stormour"
"Elanana Khraemeus"
"Arivyeminwe Thaoraere"
"Viraae Tahromuseus"
"Muurkrand Thromour"
"Liliahil Elsinius"
"Elenarume Highious"
"Nalsion Athor"
"Cadanwe Korus"
"Angaalsama Jorus"
"Ravna Loraethifeth"
"Lorunya Aelsonore"
"Taarnayne Aelsonlock"
"Rumena Grayihre"
"Muussare Adihre"
"Tarrmend Khraemour"
"Lorande Tahromthar"
"Nalcvanya Thilinlock"
"Arquilonwe Cambinder"
"Nalhil Kaeour"
"Arqrine Silinfhaer"
"Camline Loraethore"
"Curesse Tahromoth"
"Estndil Kaethaer"
"Errte Chaeuseus"
"Estaeya Jaerus"
"Angonirya Thilinkaender"
"Camilda Athfaere"
"Cumlonwe Khraemihre"
"Valindil Chaeihle"
"Anirine Jaerious"
"Iniekrand Laemfaere"
"Carassa Aedaerith"
"Termaline Tahromkaender"
"Celussa Larethaine"
"Atranirya Tahromthius"
"Earaoril Laraeththius"
"Vallonwe Granan"
"Termena Caemus"
"Elaaena Elsinlock"
"Sonuen Highor"
"Kardara Laemor"
"Varuarume Saelinaire"
"Cymbaoril Adaerith"
"Gialwen Laemire"
"Caradilwe Loraeththaer"
"Erisare Jaerour"
"Karine Sillonorinh"
"Psyrne Spellore"
"Ininwen Charmosin"
"Cirnande Granbinder"
"Ardadara Spellaere"
"Carorne Stormire"
"Eldaine Faeiath"
"Elaneminwe Athfhaer"
"Camahil Larethorinh"
"Tarssare Gaeththius"
"Nirsara Spellfhaer"
"Nenyeth Silinihle"
"Cymbana Silinfhar"
"Arilenya Thromaire"
"Shakrand Loreal"
"Arivnalda Aelsinaerith"
"Culaire Laraethaerith"
"Arqlinde Tahromaere"
"Mirerane Aelsinire"
"Silnnarre Loraethorin"
"Arannalda Sillonan"
"Cinion Jaerthaer"
"Psyhil Korthar"
"Celrie Saelinor"
"Karirand Salingire"
"Elannoore Sillonire"
"Farrdalin Highfaere"
"Gialonirya Sillonifeth"
"Tenyte Aelsinuseus"
"Aranrne Laemaerith"
"Ciranwe Alkineus"
"Elanande Aelsonaen"
"Culcarya Thromlock"
"Sirtelle Salingaine"
"Paldith Elsinaire"
"Varuia Charmorinh"
"Elenwen Aedus"
"Aurae Athorin"
"Aurafire Chamthaer"
"Ranalenya Thaoraire"
"Mirinnarre Aeduseus"
"Taaie JaerthaerArdath Aedour"
"Ardasse Chamonin"
"Nalcsse Charmire"
"Caminwy Thramfhaer"
"Elaorne Highor"
"Imaia Aelsinifeth"
"Muuraale Saelinfaere"
"Termnwy Stormihle"
"Vallielinwae Highor"
"Aryanande Laemaine"
}
