"JAPANESE_MALE"
{
"Kunieda Junnosuke"
"Mihara Miho"
"Yoshida Satomi"
"Fukui Koko"
"Akamine Yuna"
"Kataoka Wayoko"
"Sugiyama Sakurako"
"Miyamoto Ie"
"Yasuda Leiko"
"Enatsu Tamiko"
"Aozora Kuniko"
"Morino Yukika"
"Tamatsuki Mino"
"Deguchi Kamie"
"Yonemura Wako"
"Saeki Kamlyn"
"Iha Reiko"
"Orito Sugi"
"Yoshioka Kawa"
"Nomi Kinuyo"
"Kuga Nanao"
"Noda Iona"
"Eguchi Ayuka"
"Umesaka Maki"
"Shima Aisa"
"Tamon Taru"
"Zakai Azumi"
"Ichikawa Anii"
"Konno Kayami"
"Jinnouchi Itsuko"
"Kawamoto Kyouko"
"Abo Yoko"
"Oba Are"
"Tamai Toku"
"Okumura Karin"
"Wakata Taki"
"Oda Sakura"
"Uchiha Sakura"
"Handa Ayako"
"Tokuma Harukichi"
"Higashi Katsuko"
"Natsukawa Hosuzu"
"Kawahara Mikka"
"Ueyama Yume"
"Mukai Kai"
"Iwayanagi Otsu"
"Nomi Hiroshi"
"Nobusawa Nanako"
"Wakao Sawa"
"Nashio Hana"
"Shimoda Shirushi"
"Yoshikuni Koiso"
"Goya Akina"
"Endo Mayumi"
"Akanishi Misaki"
"Iwayanagi Yoshi"
"Yamasato Emiri"
"Momoi Mamiko"
"Kubo Miyoko"
"Shinohara Orino"
"Tengan Ginko"
"Wakuni Otsune"
"Hiroshima Tamae"
"Shimada Utako"
"Kimoto Tokie"
"Shimizu Juri"
"Koga Kiyoshi"
"Moriyama Mamiko"
"Naru Yumisa"
"Sugimoto Hisa"
"Tsujii Miliko"
"Shimada Taru"
"Ogino Eiko"
"Takagaki Arei"
"Hisakawa Ayame"
"Miyara Shizu"
"Hirata Kumiyo"
"Edamura Yumia"
"Haruyama Tami"
"Mochizuki Hizuru"
"Sugano Mitsu"
"Tamon Mio"
"Murayama Sakamae"
"Naito Eriko"
"Hakuryū Natsuko"
"Inaba Rio"
"Karasu Iku"
"Okino Manami"
"Yoshinaga Chie"
"Fujimori Rini"
"Toujou Io"
"Nishimoto Mari"
"Nakagome Yukiko"
"Mizutani Umeka"
"Yomaura Juri"
"Toyama Kirari"
"Fukuda Yoriko"
"Tanaka Hazuki"
"Yanagi Kazu"
"Chiyotanda Miho"
"Obara Risako"
"Chiba Nariko"
"Nakasone Ikumu"
"Hata Rebun"
"Mita Yo"
"Miyagawa Ikumu"
"Ishii Nanako"
"Masaki Yukari"
"Ametsuchi Kukiko"
"Miyaguchi Mikka"
"Kase Aoba"
"Yamada Akane"
"Saionji Yasuko"
"Suzukaze Nagisa"
"Umeda Sui"
"Yūki Misaki"
"Mitsue Asahi"
"Utsunomiya Isono"
"Mizutani Hide"
"Nitta Tane"
"Sakakibara Tetsu"
"Yonezawa Eitsu"
"Asato Izumi"
"Miyazato Erisa"
"Takagaki Kouko"
"Sonoda Koharu"
"Endo Fuuko"
"Obara Sumiko"
"Tsukuda Kei"
"Okamura Shizue"
"Otonari Morie"
"Takaki Oharu"
"Minami Eimu"
"Yoshitaka Iona"
"Shiba Runa"
"Goto Ise"
"Morino Rokuko"
"Taniuchi Iki"
"Zayasu Nishi"
"Kogane Kadiri"
"Kouumoto Tara"
"Kobe Rii"
"Yonemura Kotone"
"Sekiguchi Mitsu"
"Saiki Kurea"
"Yaginuma Gina"
"Kawai Eren"
"Ara Kioshi"
"Mihara Yuka"
"Naito Homi"
"Ogawa Erisu"
"Kazetani Juria"
"Suko Kyoumi"
"Kikyo Nyoko"
"Koyanagi Urano"
"Nagatsuka Kagami"
"Inaba Hatsu"
"Sawaya Isoko"
"Orito Mayako"
"Iwata Kaneru"
}
