"JAPANESE_MALE"
{
"Kunieda Junnosuke"
"Mihara Miho"
"Yoshida Satomi"
"Fukui Koko"
"Akamine Yuna"
"Kataoka Wayoko"
"Sugiyama Sakurako"
"Miyamoto Ie"
"Yasuda Leiko"
"Enatsu Tamiko"
"Aozora Kuniko"
"Morino Yukika"
"Tamatsuki Mino"
"Deguchi Kamie"
"Yonemura Wako"
"Saeki Kamlyn"
"Iha Reiko"
"Orito Sugi"
"Yoshioka Kawa"
"Nomi Kinuyo"
"Kuga Nanao"
"Noda Iona"
"Eguchi Ayuka"
"Umesaka Maki"
"Shima Aisa"
"Tamon Taru"
"Zakai Azumi"
"Ichikawa Anii"
"Konno Kayami"
"Jinnouchi Itsuko"
"Kawamoto Kyouko"
"Abo Yoko"
"Oba Are"
"Tamai Toku"
"Okumura Karin"
"Wakata Taki"
"Oda Sakura"
"Uchiha Sakura"
"Handa Ayako"
"Tokuma Harukichi"
"Higashi Katsuko"
"Natsukawa Hosuzu"
"Kawahara Mikka"
"Ueyama Yume"
"Mukai Kai"
"Iwayanagi Otsu"
"Nomi Hiroshi"
"Nobusawa Nanako"
"Wakao Sawa"
"Nashio Hana"
"Shimoda Shirushi"
"Yoshikuni Koiso"
"Goya Akina"
"Endo Mayumi"
"Akanishi Misaki"
"Iwayanagi Yoshi"
"Yamasato Emiri"
"Momoi Mamiko"
"Kubo Miyoko"
"Shinohara Orino"
"Tengan Ginko"
"Wakuni Otsune"
"Hiroshima Tamae"
"Shimada Utako"
"Kimoto Tokie"
"Shimizu Juri"
"Koga Kiyoshi"
"Moriyama Mamiko"
"Naru Yumisa"
"Sugimoto Hisa"
"Tsujii Miliko"
"Shimada Taru"
"Ogino Eiko"
"Takagaki Arei"
"Hisakawa Ayame"
"Miyara Shizu"
"Hirata Kumiyo"
"Edamura Yumia"
"Haruyama Tami"
"Mochizuki Hizuru"
"Sugano Mitsu"
"Tamon Mio"
"Murayama Sakamae"
"Naito Eriko"
"Hakuryū Natsuko"
"Inaba Rio"
"Karasu Iku"
"Okino Manami"
"Yoshinaga Chie"
"Fujimori Rini"
"Toujou Io"
"Nishimoto Mari"
"Nakagome Yukiko"
"Mizutani Umeka"
"Yomaura Juri"
"Toyama Kirari"
"Fukuda Yoriko"
"Tanaka Hazuki"
"Yanagi Kazu"
"Chiyotanda Miho"
"Obara Risako"
"Chiba Nariko"
"Nakasone Ikumu"
"Hata Rebun"
"Mita Yo"
"Miyagawa Ikumu"
"Ishii Nanako"
"Masaki Yukari"
"Ametsuchi Kukiko"
"Miyaguchi Mikka"
"Kase Aoba"
"Yamada Akane"
"Saionji Yasuko"
"Suzukaze Nagisa"
"Umeda Sui"
"Yūki Misaki"
"Mitsue Asahi"
"Utsunomiya Isono"
"Mizutani Hide"
"Nitta Tane"
"Sakakibara Tetsu"
"Yonezawa Eitsu"
"Asato Izumi"
"Miyazato Erisa"
"Takagaki Kouko"
"Sonoda Koharu"
"Endo Fuuko"
"Obara Sumiko"
"Tsukuda Kei"
"Okamura Shizue"
"Otonari Morie"
"Takaki Oharu"
"Minami Eimu"
"Yoshitaka Iona"
"Shiba Runa"
"Goto Ise"
"Morino Rokuko"
"Taniuchi Iki"
"Zayasu Nishi"
"Kogane Kadiri"
"Kouumoto Tara"
"Kobe Rii"
"Yonemura Kotone"
"Sekiguchi Mitsu"
"Saiki Kurea"
"Yaginuma Gina"
"Kawai Eren"
"Ara Kioshi"
"Mihara Yuka"
"Naito Homi"
"Ogawa Erisu"
"Kazetani Juria"
"Suko Kyoumi"
"Kikyo Nyoko"
"Koyanagi Urano"
"Nagatsuka Kagami"
"Inaba Hatsu"
"Sawaya Isoko"
"Orito Mayako"
"Iwata Kaneru"
}
"JAPANESE_KAMI_WATER"
{

"Shojo"
"Owatatsumi"
"Isora"
"Uga Jin"
"Mizutonokami"

"Aizumi no Kami"
"Uminokami"
"Raijin Suyama"
"Taki no Kami"
"Funadama"

"Kanoko"
"Umitaka"
"Taki-sama"
"Akizasume"
"Mizuhime"

"Mizukami Fujiwara"
"Umikami Haruki"
"Suijin Adachi"
"Koyonoshi Tanaka"
"Taki-taro Yoshida"

"Kura Okami"
"Akaru-Hime"
"Mizuhara Kamiyo"
"Aonami Takemi"
"Shizuku Hikari"

"Suihei Daiko"
"Harukaze Ryosho"
"Mizukami Haruna"
"Suijin Takeda"
"Umiko Sagiri"

"Kaiko Raijin"
"Amenome Numata"
"Umikami Aiko"
"Arashi no Shozo"
"Taiyo no Mizuho"

}

"JAPANESE_KAMI_FIRE"
{

"Kurohira no Kami"
"Hoshiryu"
"Hinokami no Shiranui"
"Kaenmo"
"Enkogi"

"Hi no kami"
"Homura no kami"
"Kazan tai"
"Akari shin"
"Saito okami"

"Hiwatari Okami"
"Enkiri no Kami"
"Kasumi Hi"
"Ohnokami Taru"
"Kaien no Houkai"

"Hinokagutsuchi"
"Agnioukan"
"Kaen-no-Mikoto"
"Ishitaka-oshin"
"Kagutsuchi no Mikoto"

"Enkou Tenjin"
"Hoko Daikami"
"Homura no Hime"
"Homura Matsuri"
"Kaji no Tsuji"

"Hi no Yuhai"
"Kagutsuchi Tennō"
"Enrai-no-Odori"
"Kaen Miko"
"Hi-no-Tsu"

"Enko Kumiko"
"Magumasa Takumi"
"Akiyama Kurenai"
"Kaji-Tsuchi"
"Hōō no Shōten"

}

"JAPANESE_KAMI_EARTH"
{

"Inokami Amateru"
"Oyamatsumi no Kami"
"Tsuji no Inari"
"Iwayabiko Tengu"
"Kusanagi Takemikazuchi"

"Oyamatsumi"
"Inaozume"
"Kinunomochi"
"Aranjiro"
"Nekomata-ue"

"Inakatataki"
"Yoshino no Kami"
"Kodama no Kamisama"
"Oyamatsumi Takahashi"
"Chi no Kami Yamamoto"

"Morikami Fujimoto"
"Jiyū no Kami Suzuki"
"Kushi Nokami Tanaka"
"Noinrin Takemikazuchi"
"Yama no Kami Raijū"

"Tsumugi Kazuha"
"Jūboku Katsuragi"
"Ishigami Taisetsu"
"Takeminakata"
"Yamaushiwakatsu"

"Mizuhikoinu"
"Kamuiadonisamo"
"Inagdebiraki"
"Nōjō-no-Kami"
"Yama-no-Tenshi"

"Yama-no-Tensh"
"Chikara-dokufu"
"Kanamori no Kami"
"Oyamatsumi no Mikoto"
"Hanami no Kami"

}

"JAPANESE_KAMI_WIND"
{

"Kazehime"
"Arashi-sama"
"Kaze-no-kami"
"Akikaze"
"Fūjin-kami"

"Fujin Takemitsu"
"Yamagatou Ryugaku"
"Kaze no Aiko"
"Arashi Ogin"
"Kaze-no-Mitsuki"

"Hien-Taka"
"Arashi-wo-Tenshi"
"Sora-no-Tama"
"Fujin-mikoto"
"Kazekami"

"Akiro Sakanai"
"Arashi-Ten"
"Tenkaze"
"Umikaze Seiryu"
"Fūjinno Harumi"

"Arashi no Kami"
"Sasayaki no Fū"
"Takami no Kasaume"
"Yama Sōryū"
"Kazenoshin"

"Fuunjirou"
"Aoshirou"
"Suginome Takae"
"Rukizen Ashi"
"Kazeminokami"

"Takeminomurakumo"
"Sakanoshinryoku"
"Umiyuushin"
"Seirenkaze"
"Fujin Harukaze"

}

"JAPANESE_KANSEN_WIND"
{

"Kusuyami"
"Yōkorobi"
"Fūrin-oshin"
"Ushimiya"
"Arakawa no Kami"

"Kaze no Akuma"
"Tatsuya Fuujin"
"Yukikaze no Yurei"
"Orochi Kaminari"
"Raikokama"

"Kazeumamiko"
"Fūtoku"
"Akigazuki"
"Mibugami"
"Kurokaze no Kami"

"Fūjin no Yurei"
"Arashi no Kurai"
"Yūrei no Kaze"
"Nēbiro no Shokushu"
"Arashi no Kokuyō"

"Kaze-no-Muzan"
"Inazuma Yamo"
"Sōkō Yūrei"
"Fūton Kurai"
"Kazehayakami"

"Arashi-no-Mikoto"
"Fūjin-bō"
"Okarusa"
"Naminokaze"
"Arashi-no-Kami"

"Yūrai-no-Igaku"
"Fūten-shōjō"
"Inazumasuki"
"Kazenari-tarō"
"Fūmakukami"

}

"JAPANESE_KANSEN_EARTH"
{

"Yomotsu-koto"
"Kurai no Kami"
"Shikigami Yuurei"
"Tamashi no Arashi"
"Shikoku Tsumi"

"Daini Junrei"
"Akumashō"
"Yami Oyamatsumi"
"Mayo Shinjū"
"Arashi Fujin"

"Yami-no-Mizukage"
"Akumu-no-Kamine"
"Kurogane-Okami"
"Jishin-no-Yurei"
"Maki-no-Kami"

"Shiitake no Urami"
"Yama no Ikari"
"Chikyū no akuma"
"Kage no Kodama"
"Iyashi no Akurei"

"Akaishin Kuroda"
"Jigoku no Kami Matsuo"
"Ayakashikozu Fukuro"
"Shiranui Taketori"
"Shiyū Kurogane"

"Yemonka Hozan"
"Akuma no Densetsu"
"Jigen Kuroyama"
"Jiaru Takemori"
"Aikatsu Sarugami"

"Inmasa-Ōkami"
"Yomotsu-Tsukuri"
"Kurogaki-Ōkoto"
"Naraku-Hiroi"
"Sakkanon-Nenbutsu"

}

"JAPANESE_KANSEN_FIRE"
{

"Homurazukō"
"Enrai no Kami"
"Moejitenshi"
"Kurayami no Hi"
"Kaenjo"

"Infernakami"
"Akukami no Yakan"
"Drakononi Kemuri"
"Akumu no Hi"
"Hono no Kirigami"

"Ennetsu"
"Homura-no-Oni"
"Senninyaki"
"Kaenno-Kami"
"Moerosuko"

"Katsukami no Enka"
"Yōkamen no Tsuki"
"Sakuhō no Hono"
"Jigoku no Kasai"
"Kamikaze no Tamatibitai"

"Hi no Kami"
"Kasai no Yuurei"
"Enkou Tenshi"
"Akuma no Honō"
"Kaki Yami"

"Raiten no Seika"
"Jigoku-no-Hi"
"Akuma-Kaji"
"Homura-oni"
"Enma-Furi"

"Kasai-no-Mikami"
"Kamizukikan"
"Hi-no-Yurei"
"Enkakufu"
"Homura-no-Kami"

}

"JAPANESE_KANSEN_WATER"
{

"Mizu-no-Akuma"
"Kurogawa-Mikami"
"Aragami Tatsu"
"Uminari-no-Kami"
"Yurei Tamagawa"

"Mizukuchi no Yurei"
"Oariki no Kami"
"Ikamezume no Raijin"
"Kurokaeru no Kami"
"Enryuudou no Ryujin"

"Fukakikawa no Kami"
"Kurokaishi"
"Arasujin"
"Tamashiyamori"
"Nami no Ikari"

"Suihōji"
"Mizukagami"
"Aoniyori"
"Makugetsu"
"Aranomi"

"Ryuujinmaru"
"Amasu Besson"
"Oharai-kami"
"Fū no Suiyou"
"Ikazuchi-no-Kami"

"Arashi no Suijin"
"Aiji no Raijin"
"Kurogami Mizunoe"
"Funamushi Yureioshi"
"Zetsubou no Hirurgami"

"Mizusōkai"
"Yuraikami"
"Kaidennō"
"Funarakami"
"Umikazen"

}

"JAPANESE_KAMI_MISC"
{

"Inari Takaoka"
"Oyamatsumi Yamaneko"
"Jizo Michiyuki"
"Oyamatsumi"
"Inari-no-kami"

"Tengu-shin"
"Hachiman no Eishin"
"Kamo no Kamikaze"
"Onigiri no Kami"
"Gokigen-kun"

"Yūbari no Kami"
"Kanatsu No Susemi"
"Onimori"
"Shinro"
"Ninyū"

"Seieikan"
"Shinto-no-Seirei"
"Kanemaru"
"Jishinno"
"Bunbuncho"

"Raiden Hayakawa"
"Kurokami Tensho"
"Seiryu Tatehira"
"Kaminari Shigaraki"
"Susanoo Stormweaver"

"Shingiku no Kami"
"Daikensho"
"Yoshimizu"
"Kōkendai"
"Aizanami"

"Inochi no Kami"
"Hikari-nushi"
"Makoto-Amatsu"
"Sui-yomi"
"Jurojin kuringa"

"Michiyuki no Kami"
"Akira no Kasumi"
"Seiryu the Wayfinder"
"Unmei no Seki"
"Komorebi the Wanderer"

"Yomitsukami"
"Kaginushi"
"Nakanishi no Kami"
"Naraku no Tenjin"
"Futakuchi-hime"

"Yureikami"
"Rinnokaze"
"Oborogumo"
"Chōrei"
"Hayarukami"

"Hirigami Takeno"
"Urasaki Shitsuren"
"Ryūsui Zanzō"
"Kawamizu Jestū"
"Botan Arasuyume"

"Amaterasu no Kishi"
"Fuku no Kami"
"Shiawase Musha"
"Kiki Tamago"
"Mori no Jizo"

"Zaiko No Kami"
"Hakubutsu-Tai"
"Kōzei-dama"
"Manji no Kami"
"Yuuki-Mori"

"Kodama no Hime"
"Mori no Kami"
"Hanami-shin"
"Sawa-no-Kagutsuchi"
"Yuki-no-Ama"

"Kagekuhime"
"Mizumanomiya"
"Umikami-no-Kami"
"Sakuraikazuchi"
"Inaka-no-Jin"

"Hagane Shinjitai"
"Takara Senshi"
"Ryouma Yūrain"
"Kaze Shinryū"
"Akira Hikari"

"Tabikami Sazuke"
"Kazeigami Adasu"
"Nishikigami Matsuru"
"Yume no Kami Shirane"
"Yasuragi Shin'ai"

"Shika-no-Ōkami"
"Mori no Kami"
"Yaotome"
"Inoshishi-tachi"
"Takeminakata"

"Kōkamorikami"
"Shikamori-dai"
"Yamanokami"
"Hayakashi"
"Natsukami"

"Akatsuki Takamori"
"Asahi no Chigo"
"Kontatsu no Ohkami"
"Shinrin Amano"
"Akatsuki-no-Amaterasu"

}

"JAPANESE_SUIJIN"
{

"Mizu-no-Akuma"
"Kurogawa-Mikami"
"Aragami Tatsu"
"Uminari-no-Kami"
"Yurei Tamagawa"

"Mizukuchi no Yurei"
"Oariki no Kami"
"Ikamezume no Raijin"
"Kurokaeru no Kami"
"Enryuudou no Ryujin"

"Fukakikawa no Kami"
"Kurokaishi"
"Arasujin"
"Tamashiyamori"
"Nami no Ikari"

"Suihōji"
"Mizukagami"
"Aoniyori"
"Makugetsu"
"Aranomi"

"Ryuujinmaru"
"Amasu Besson"
"Oharai-kami"
"Fū no Suiyou"
"Ikazuchi-no-Kami"

"Arashi no Suijin"
"Aiji no Raijin"
"Kurogami Mizunoe"
"Funamushi Yureioshi"
"Zetsubou no Hirurgami"

"Mizusōkai"
"Yuraikami"
"Kaidennō"
"Funarakami"
"Umikazen"


"Shojo"
"Owatatsumi"
"Isora"
"Uga Jin"
"Mizutonokami"

"Aizumi no Kami"
"Uminokami"
"Raijin Suyama"
"Taki no Kami"
"Funadama"

"Kanoko"
"Umitaka"
"Taki-sama"
"Akizasume"
"Mizuhime"

"Mizukami Fujiwara"
"Umikami Haruki"
"Suijin Adachi"
"Koyonoshi Tanaka"
"Taki-taro Yoshida"

"Kura Okami"
"Akaru-Hime"
"Mizuhara Kamiyo"
"Aonami Takemi"
"Shizuku Hikari"

"Suihei Daiko"
"Harukaze Ryosho"
"Mizukami Haruna"
"Suijin Takeda"
"Umiko Sagiri"

"Kaiko Raijin"
"Amenome Numata"
"Umikami Aiko"
"Arashi no Shozo"
"Taiyo no Mizuho"

}
